,Seven_Day_Total,Theaters,Distributor,runtime,release_date,budget,keywords_count,log_total_marketing_assets,director_weighted_rating,weekend_release,is_holiday,holiday_type,spoken_languages_iso,same_release_date_count,same_day_competitors,has_same_day_competitor,month_sin,month_cos,budget_log,cast_top5_popularity_sum_log,is_franchise,franchise_size,franchise_size_log,installment_number,is_sequel,keywords_count_log,kw_superhero,kw_animation,kw_horror,kw_romance,kw_family,kw_biopic,kw_fantasy_scifi,kw_action_adventure,kw_crime_thriller,kw_comedy_drama,genres_norm,num_genres,num_production_companies,has_major_studio,num_prodcos_log,mpaa_std,is_US,is_China,is_India,num_countries
1412,11546629.0,1723.0,affirm films,119.0,2019-08-22,5000000.0,3.0,3.9318256327243257,7.768778337531486,0,0,none,"['en', 'es', 'it']",1,0,0,-0.5,-0.8660254,15.424948670398354,1.2912691407107806,0,0,0.0,0,0,1.3862943611198906,0,0,0,0,0,0,0,0,0,0,drama,1,1,0,0.6931472,PG,1,0,0,1
1413,7793.0,20.0,vertical entertainment,93.0,2017-06-16,28210303.0,0.0,2.772588722239781,5.992321348314607,1,0,none,"['de', 'en', 'fr']",3,2,1,0.5,-0.8660254,17.15519785924057,3.4035745539479065,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,action|mystery|thriller,3,9,0,2.3025851,PG-13,1,0,0,4
1414,13892889.0,2859.0,paramount pictures,110.0,2018-11-01,38000000.0,14.0,3.4339872044851463,6.755684968195514,0,0,none,"['de', 'en', 'fr', 'ru']",2,1,1,-0.8660254,0.5,17.453096744006448,2.4010811017428546,0,0,0.0,0,0,2.70805020110221,0,0,0,0,0,0,0,0,0,0,horror|science fiction|war,3,2,1,1.0986123,R,1,0,0,1
1415,102803624.0,3912.0,walt disney studios motion pictures,130.0,2013-03-07,200000000.0,11.0,5.1298987149230735,6.652776705653022,0,0,none,['en'],1,0,0,0.8660254,0.5,19.11382792951231,2.7227614579679034,0,0,0.0,0,0,2.4849066497880004,0,0,0,0,0,0,0,0,0,0,adventure|family|fantasy,3,3,1,1.3862944,PG,1,0,0,1
1416,27116988.0,3989.0,paramount pictures,88.0,2023-09-21,30000000.0,8.0,5.4510384535657,6.684825481088255,0,0,none,['en'],1,0,0,-0.8660254,-0.5,17.216707972959764,2.510956065082385,1,3,1.3862944,2,1,2.1972245773362196,0,0,0,0,0,0,0,0,0,0,adventure|animation|comedy|family,4,5,1,1.7917595,PG,1,0,0,3
1417,17456280.0,3184.0,paramount pictures,86.0,2021-08-09,26000000.0,4.0,3.4011973816621555,6.684825481088255,0,0,none,['en'],1,0,0,-0.5,-0.8660254,17.073607134447293,1.7781675157085879,1,3,1.3862944,1,0,1.6094379124341003,0,0,0,0,0,0,0,0,0,0,adventure|animation|comedy|family,4,5,1,1.7917595,G,1,0,0,3
1418,6160429.0,272.0,utv motion pictures,153.0,2014-12-18,13000000.0,16.0,3.4965075614664802,7.834742749054224,0,1,christmas,['hi'],2,1,1,-0.5,0.8660254,16.380459992348886,1.7801759721513057,0,0,0.0,0,0,2.833213344056216,0,0,0,0,0,0,0,0,0,0,comedy|drama|science fiction,3,3,0,1.3862944,PG-13,0,0,1,1
1419,52280292.0,3275.0,warner bros.,131.0,2013-07-11,180000000.0,13.0,4.219507705176107,7.234615217722291,0,0,none,"['en', 'ja', 'ru', 'zh']",3,2,1,1.2246469e-16,-1.0,19.00846741441004,3.0793378574087877,1,2,1.0986123,1,0,2.639057329615259,0,0,0,0,0,0,0,0,0,0,action|adventure|science fiction,3,2,0,1.0986123,PG-13,1,0,0,1
1420,36465820.0,3708.0,universal pictures,111.0,2018-03-21,150000000.0,49.0,5.3230099791384085,6.135,0,0,none,['en'],1,0,0,0.8660254,0.5,18.826145858727198,2.507043152783482,1,2,1.0986123,2,1,3.912023005428146,0,0,0,0,0,0,0,0,0,0,action|adventure|fantasy|science fiction,4,2,0,1.0986123,PG-13,1,0,0,1
1421,956887.0,152.0,sony pictures releasing,140.0,2018-02-09,10000000.0,10.0,1.0986122886681096,6.776507418397626,1,0,none,['hi'],2,1,1,0.5,0.8660254,16.118095750958314,2.5784197612864466,0,0,0.0,0,0,2.3978952727983707,0,0,0,0,0,0,0,0,0,0,comedy|drama,2,6,1,1.9459102,Unrated,1,0,1,3
